rental_overlap_alpha_pct,observed_network_hashrate_mh,operator_committed_non_mrr_hashrate_mh,visible_rental_capacity_mh,honest_hash_removed_by_redirection_mh,remaining_honest_hashrate_mh,attacker_hashrate_mh,combined_post_redirection_hashrate_mh,attacker_fraction_of_combined_pct,attacker_exceeds_remaining_honest,evidence_class
0.00,19.70723840,4.00000000,10.34630000,0.00000000,19.70723840,10.34630000,30.05353840,34.42622916,false,speculative overlap case using directly observed frozen rental and network values; committed hash is operator-supplied
25.00,19.70723840,4.00000000,10.34630000,2.58657500,17.12066340,10.34630000,27.46696340,37.66816102,false,speculative overlap case using directly observed frozen rental and network values; committed hash is operator-supplied
50.00,19.70723840,4.00000000,10.34630000,5.17315000,14.53408840,10.34630000,24.88038840,41.58415791,false,speculative overlap case using directly observed frozen rental and network values; committed hash is operator-supplied
75.00,19.70723840,4.00000000,10.34630000,7.75972500,11.94751340,10.34630000,22.29381340,46.40883914,false,speculative overlap case using directly observed frozen rental and network values; committed hash is operator-supplied
100.00,19.70723840,4.00000000,10.34630000,10.34630000,9.36093840,10.34630000,19.70723840,52.49999919,true,speculative overlap case using directly observed frozen rental and network values; committed hash is operator-supplied
