scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S6B,S6/b,Bounded Customized Halving study scenario II,0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,legacy pre-activation binary halving
S6B,S6/b,Bounded Customized Halving study scenario II,210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,legacy pre-activation binary halving
S6B,S6/b,Bounded Customized Halving study scenario II,420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,legacy pre-activation binary halving
S6B,S6/b,Bounded Customized Halving study scenario II,630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,legacy pre-activation binary halving
S6B,S6/b,Bounded Customized Halving study scenario II,840000,2100000,1260000,400000000,4.00000000,504000000000000,5040000.00000000,2472750000000000,24727500.00000000,false,customized halving study scenario II
S6B,S6/b,Bounded Customized Halving study scenario II,2100000,4200000,2100000,200000000,2.00000000,420000000000000,4200000.00000000,2892750000000000,28927500.00000000,false,customized halving study scenario II
S6B,S6/b,Bounded Customized Halving study scenario II,4200000,6300000,2100000,100000000,1.00000000,210000000000000,2100000.00000000,3102750000000000,31027500.00000000,false,customized halving study scenario II
S6B,S6/b,Bounded Customized Halving study scenario II,6300000,234587500,228287500,60000000,0.60000000,13697250000000000,136972500.00000000,16800000000000000,168000000.00000000,false,bounded scenario II constant phase; end height derived from the maximum-scheduled-issuance ceiling
