scenario_id,scenario_display_id,boundary_height,subsidy_before_rin,subsidy_after_rin,required_additional_fee_base_units_per_block,required_additional_fee_rin_per_block,interpretation
S1,S1,4830000,2.35845996,2.24053696,11792300,0.11792300,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,5040000,2.24053696,2.12851011,11202685,0.11202685,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,5250000,2.12851011,2.02208460,10642551,0.10642551,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,5460000,2.02208460,1.92098037,10110423,0.10110423,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,5670000,1.92098037,1.82493135,9604902,0.09604902,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,5880000,1.82493135,1.73368478,9124657,0.09124657,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,6090000,1.73368478,1.64700054,8668424,0.08668424,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,6300000,1.64700054,1.56465051,8235003,0.08235003,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,6510000,1.56465051,1.48641798,7823253,0.07823253,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,6720000,1.48641798,1.41209708,7432090,0.07432090,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,6930000,1.41209708,1.34149222,7060486,0.07060486,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,7140000,1.34149222,1.27441760,6707462,0.06707462,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,7350000,1.27441760,1.21069672,6372088,0.06372088,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,7560000,1.21069672,1.15016188,6053484,0.06053484,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,7770000,1.15016188,1.09265378,5750810,0.05750810,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,7980000,1.09265378,1.03802109,5463269,0.05463269,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,8190000,1.03802109,0.98612003,5190106,0.05190106,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,8400000,0.98612003,0.93681402,4930601,0.04930601,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,8610000,0.93681402,0.88997331,4684071,0.04684071,fee increase needed to hold nominal RIN/block revenue unchanged
