scenario_id,scenario_display_id,scenario_name,activation_height,subsidy_at_activation_base_units,subsidy_at_activation_rin,immediate_miner_revenue_shock_pct,consensus_divergence_height,first_later_reduction_height,first_later_reduction_before_rin,first_later_reduction_after_rin,first_later_reduction_pct,normal_scheduled_reduction_pct,cadence_blocks,cadence_target_years,mathematical_half_life_epochs,mathematical_half_life_target_years,post_activation_issuance_1y_rin,post_activation_issuance_5y_rin,post_activation_issuance_10y_rin,post_activation_issuance_25y_rin,maximum_scheduled_issuance_base_units,maximum_scheduled_issuance_rin,first_zero_subsidy_height
S1,S1,1/20 reduction without a floor,840000,593750000,5.93750000,5.00000000,840000,1050000,5.93750000,5.64062500,5.00000000,5.00000000,210000,0.39954338,13.51340733,5.39919243,2997273.75000000,11808776.17164000,18029979.34674000,23930272.32810000,4462499301750000,44624993.01750000,73710000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",840000,625000000,6.25000000,0.00000000,840000,2730000,6.25000000,3.12500000,50.00000000,50.00000000,2100000,3.99543379,1.00000000,3.99543379,3285000.00000000,14118750.00000000,20353125.00000000,24600585.93750000,4462499976900000,44624999.76900000,63630000
