scenario_id,scenario_display_id,ideal_formula,ideal_post_activation_issuance_rin,integer_post_activation_issuance_rin,integer_maximum_scheduled_issuance_rin,integer_maximum_difference_s5b_minus_s1_rin
S1,S1,210000 * 5.9375 / (1 - 0.95),24937500.00000000,24937493.01750000,44624993.01750000,6.75150000
S5B,S5/b,1890000 * 6.25 + 2100000 * 3.125 / (1 - 0.5),24937500.00000000,24937499.76900000,44624999.76900000,6.75150000
