scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S3,S3,Perpetual 0.5 RIN tail-emission comparator,0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,legacy pre-activation binary halving
S3,S3,Perpetual 0.5 RIN tail-emission comparator,210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,legacy pre-activation binary halving
S3,S3,Perpetual 0.5 RIN tail-emission comparator,420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,legacy pre-activation binary halving
S3,S3,Perpetual 0.5 RIN tail-emission comparator,630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,legacy pre-activation binary halving
S3,S3,Perpetual 0.5 RIN tail-emission comparator,840000,1050000,210000,593750000,5.93750000,124687500000000,1246875.00000000,2093437500000000,20934375.00000000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1050000,1260000,210000,564062500,5.64062500,118453125000000,1184531.25000000,2211890625000000,22118906.25000000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1260000,1470000,210000,535859375,5.35859375,112530468750000,1125304.68750000,2324421093750000,23244210.93750000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1470000,1680000,210000,509066406,5.09066406,106903945260000,1069039.45260000,2431325039010000,24313250.39010000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1680000,1890000,210000,483613085,4.83613085,101558747850000,1015587.47850000,2532883786860000,25328837.86860000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1890000,2100000,210000,459432430,4.59432430,96480810300000,964808.10300000,2629364597160000,26293645.97160000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,2100000,2310000,210000,436460808,4.36460808,91656769680000,916567.69680000,2721021366840000,27210213.66840000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,2310000,2520000,210000,414637767,4.14637767,87073931070000,870739.31070000,2808095297910000,28080952.97910000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,2520000,2730000,210000,393905878,3.93905878,82720234380000,827202.34380000,2890815532290000,28908155.32290000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,2730000,2940000,210000,374210584,3.74210584,78584222640000,785842.22640000,2969399754930000,29693997.54930000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,2940000,3150000,210000,355500054,3.55500054,74655011340000,746550.11340000,3044054766270000,30440547.66270000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,3150000,3360000,210000,337725051,3.37725051,70922260710000,709222.60710000,3114977026980000,31149770.26980000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,3360000,3570000,210000,320838798,3.20838798,67376147580000,673761.47580000,3182353174560000,31823531.74560000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,3570000,3780000,210000,304796858,3.04796858,64007340180000,640073.40180000,3246360514740000,32463605.14740000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,3780000,3990000,210000,289557015,2.89557015,60806973150000,608069.73150000,3307167487890000,33071674.87890000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,3990000,4200000,210000,275079164,2.75079164,57766624440000,577666.24440000,3364934112330000,33649341.12330000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,4200000,4410000,210000,261325205,2.61325205,54878293050000,548782.93050000,3419812405380000,34198124.05380000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,4410000,4620000,210000,248258944,2.48258944,52134378240000,521343.78240000,3471946783620000,34719467.83620000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,4620000,4830000,210000,235845996,2.35845996,49527659160000,495276.59160000,3521474442780000,35214744.42780000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,4830000,5040000,210000,224053696,2.24053696,47051276160000,470512.76160000,3568525718940000,35685257.18940000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,5040000,5250000,210000,212851011,2.12851011,44698712310000,446987.12310000,3613224431250000,36132244.31250000,false,1/20 epoch reduction
S3,S3,Perpetual 0.5 RIN tail-emission comparator,5250000,5460000,210000,202208460,2.02208460,42463776600000,424637.76600000,3655688207850000,36556882.07850000,false,1/20 epoch reduction
