height,block_hash,timestamp_unix,timestamp_utc,difficulty,old_maximum_subsidy_rin,new_maximum_subsidy_rin,required_price_multiplier_for_nominal_subsidy_revenue,required_price_growth_pct,evidence_class
210000,00000000f5862317b9163a6f1ad44449a659666abc2d369689ae915bfd343f24,1755654759,2025-08-20T01:52:39Z,0.931821413337,50.00000000,25.00000000,2.00000000,100.00000000,directly observed from the local synchronized node
420000,00000001a2dc2edc2bfb74790e9a59c93f2f724caa90f6a843e12d917f4208ea,1769010875,2026-01-21T15:54:35Z,0.474901628296,25.00000000,12.50000000,2.00000000,100.00000000,directly observed from the local synchronized node
630000,000000020c74fbc1256cacf25c763f38a77fbd79ebccbced27b43eba39ffdf5e,1782336763,2026-06-24T21:32:43Z,0.300938150058,12.50000000,6.25000000,2.00000000,100.00000000,directly observed from the local synchronized node
