scenario_id,scenario_display_id,ten_year_scheduled_supply_expansion_pct,current_two_point_upper_bound_pct,current_points,robustness_example_two_point_upper_bound_pct,points_under_robustness_example
S1,S1,91.58084748,100.00000000,2,105.00000000,2
S5B,S5/b,103.38095238,100.00000000,1,105.00000000,2
