input_count,output_count,observations,serialized_size_p10_bytes,serialized_size_median_bytes,serialized_size_p90_bytes,serialized_size_maximum_bytes,aggregate_output_value_median_rin,evidence_class
1,2,39366,222,222,222,234,4026.24207808,derived structural class; no transaction purpose inferred
2,2,1982,366,369,370,374,24.99970600,derived structural class; no transaction purpose inferred
1,3,1652,253,253,256,259,12.49998250,derived structural class; no transaction purpose inferred
2,3,1208,397,400,404,404,25.00040998,derived structural class; no transaction purpose inferred
3,2,698,515,516,518,521,37.49930796,derived structural class; no transaction purpose inferred
1,1,685,191,191,191,324,67.39491290,derived structural class; no transaction purpose inferred
1,4,671,284,284,287,287,12.49959241,derived structural class; no transaction purpose inferred
2,4,595,428,432,435,435,24.99945694,derived structural class; no transaction purpose inferred
2,5,579,463,463,463,466,24.99939438,derived structural class; no transaction purpose inferred
3,3,567,544,547,552,552,37.49938220,derived structural class; no transaction purpose inferred
