scenario_id,scenario_display_id,horizon_years,height,price_path,fee_case,hardware_class,subsidy_base_units,fee_base_units_per_block,fee_share_of_gross_rin_revenue_pct,annual_gross_miner_revenue_rin,normalized_price_index,liquidity_realization_pct,annual_gross_miner_revenue_value_index,annual_realizable_miner_revenue_value_index,normalized_annual_break_even_cost,break_even_price_index,normalized_sustainable_hashrate_index,interpretation
S0,S0,0,840000,growth,high,reference,312500000,290698,0.09293691,1644027.90868800,1.00000000,80.0,1644027.90868800,1315222.32695040,0.70000000,0.00000054,1860100.14811557,revenue-supported normalized cost units; not measured hashrate
S0,S0,0,840000,growth,high,efficient,312500000,290698,0.09293691,1644027.90868800,1.00000000,80.0,1644027.90868800,1315222.32695040,0.58000000,0.00000045,2244948.45462223,revenue-supported normalized cost units; not measured hashrate
S0,S0,0,840000,growth,high,high_cost,312500000,290698,0.09293691,1644027.90868800,1.00000000,80.0,1644027.90868800,1315222.32695040,0.90000000,0.00000069,1446744.55964544,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,low,reference,78125000,0,0.00000000,410625.00000000,0.95000000,70.0,390093.75000000,273065.62500000,0.70000000,0.00000246,386192.81250000,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,low,efficient,78125000,0,0.00000000,410625.00000000,0.95000000,70.0,390093.75000000,273065.62500000,0.58000000,0.00000204,466094.77370690,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,low,high_cost,78125000,0,0.00000000,410625.00000000,0.95000000,70.0,390093.75000000,273065.62500000,0.90000000,0.00000316,300372.18750000,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,base,reference,78125000,10003,0.01280220,410677.57576800,0.95000000,70.0,390143.69697960,273100.58788572,0.70000000,0.00000246,386242.26000980,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,base,efficient,78125000,10003,0.01280220,410677.57576800,0.95000000,70.0,390143.69697960,273100.58788572,0.58000000,0.00000204,466154.45173597,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,base,high_cost,78125000,10003,0.01280220,410677.57576800,0.95000000,70.0,390143.69697960,273100.58788572,0.90000000,0.00000316,300410.64667429,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,high,reference,78125000,290698,0.37071404,412152.90868800,0.95000000,70.0,391545.26325360,274081.68427752,0.70000000,0.00000245,387629.81062106,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,high,efficient,78125000,290698,0.37071404,412152.90868800,0.95000000,70.0,391545.26325360,274081.68427752,0.58000000,0.00000203,467829.08178404,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,stress,high,high_cost,78125000,290698,0.37071404,412152.90868800,0.95000000,70.0,391545.26325360,274081.68427752,0.90000000,0.00000315,301489.85270527,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,low,reference,78125000,0,0.00000000,410625.00000000,1.00000000,90.0,410625.00000000,369562.50000000,0.70000000,0.00000191,522666.96428571,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,low,efficient,78125000,0,0.00000000,410625.00000000,1.00000000,90.0,410625.00000000,369562.50000000,0.58000000,0.00000159,630804.95689655,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,low,high_cost,78125000,0,0.00000000,410625.00000000,1.00000000,90.0,410625.00000000,369562.50000000,0.90000000,0.00000246,406518.75000000,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,base,reference,78125000,10003,0.01280220,410677.57576800,1.00000000,90.0,410677.57576800,369609.81819120,0.70000000,0.00000191,522733.88572755,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,base,efficient,78125000,10003,0.01280220,410677.57576800,1.00000000,90.0,410677.57576800,369609.81819120,0.58000000,0.00000159,630885.72415394,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,base,high_cost,78125000,10003,0.01280220,410677.57576800,1.00000000,90.0,410677.57576800,369609.81819120,0.90000000,0.00000246,406570.80001032,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,high,reference,78125000,290698,0.37071404,412152.90868800,1.00000000,90.0,412152.90868800,370937.61781920,0.70000000,0.00000191,524611.77377287,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,high,efficient,78125000,290698,0.37071404,412152.90868800,1.00000000,90.0,412152.90868800,370937.61781920,0.58000000,0.00000158,633152.14076036,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,flat,high,high_cost,78125000,290698,0.37071404,412152.90868800,1.00000000,90.0,412152.90868800,370937.61781920,0.90000000,0.00000245,408031.37960112,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,low,reference,78125000,0,0.00000000,410625.00000000,1.03000000,80.0,422943.75000000,338355.00000000,0.70000000,0.00000215,478530.64285714,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,low,efficient,78125000,0,0.00000000,410625.00000000,1.03000000,80.0,422943.75000000,338355.00000000,0.58000000,0.00000178,577536.98275862,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,low,high_cost,78125000,0,0.00000000,410625.00000000,1.03000000,80.0,422943.75000000,338355.00000000,0.90000000,0.00000277,372190.50000000,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,base,reference,78125000,10003,0.01280220,410677.57576800,1.03000000,80.0,422997.90304104,338398.32243283,0.70000000,0.00000215,478591.91315501,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,base,efficient,78125000,10003,0.01280220,410677.57576800,1.03000000,80.0,422997.90304104,338398.32243283,0.58000000,0.00000178,577610.92966983,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,base,high_cost,78125000,10003,0.01280220,410677.57576800,1.03000000,80.0,422997.90304104,338398.32243283,0.90000000,0.00000277,372238.15467612,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,high,reference,78125000,290698,0.37071404,412152.90868800,1.03000000,80.0,424517.49594864,339613.99675891,0.70000000,0.00000214,480311.22398760,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,high,efficient,78125000,290698,0.37071404,412152.90868800,1.03000000,80.0,424517.49594864,339613.99675891,0.58000000,0.00000178,579685.95998504,revenue-supported normalized cost units; not measured hashrate
S0,S0,1,1365600,growth,high,high_cost,78125000,290698,0.37071404,412152.90868800,1.03000000,80.0,424517.49594864,339613.99675891,0.90000000,0.00000276,373575.39643480,revenue-supported normalized cost units; not measured hashrate
