scenario_id,scenario_display_id,scenario_name,horizon_label,horizon_years_after_activation,height,subsidy_base_units,subsidy_rin_display,next_year_issuance_base_units,next_year_issuance_rin_display,next_year_issuance_pct_of_scheduled_supply,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,remaining_scheduled_issuance_base_units,remaining_scheduled_issuance_rin_display,maximum_supply_ceiling_remaining_base_units,maximum_supply_ceiling_remaining_rin_display
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,2 years,2.00000000,1891200,459432430,4.59432430,231869574579600,2318695.74579600,9.15237868,2533435105776000,25334351.05776000,14266564882244000,142665648.82244000,14266564894224000,142665648.94224000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,5 years,5.00000000,3468000,320838798,3.20838798,158530155716400,1585301.55716400,5.03329838,3149627617164000,31496276.17164000,13650372370856000,136503723.70856000,13650372382836000,136503723.82836000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,10 years,10.00000000,6096000,164700054,1.64700054,83044896382800,830448.96382800,2.20176157,3771747934674000,37717479.34674000,13028252053346000,130282520.53346000,13028252065326000,130282520.65326000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,25 years,25.00000000,13980000,50000000,0.50000000,26280000000000,262800.00000000,0.59686315,4403019388020000,44030193.88020000,12396980600000000,123969806.00000000,12396980611980000,123969806.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,50 years,50.00000000,27120000,50000000,0.50000000,26280000000000,262800.00000000,0.51936560,5060019388020000,50600193.88020000,11739980600000000,117399806.00000000,11739980611980000,117399806.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,100 years,100.00000000,53400000,50000000,0.50000000,26280000000000,262800.00000000,0.41229871,6374019388020000,63740193.88020000,10425980600000000,104259806.00000000,10425980611980000,104259806.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,200 years,200.00000000,105960000,50000000,0.50000000,26280000000000,262800.00000000,0.29193450,9002019388020000,90020193.88020000,7797980600000000,77979806.00000000,7797980611980000,77979806.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,250 years,250.00000000,132240000,50000000,0.50000000,26280000000000,262800.00000000,0.25474942,10316019388020000,103160193.88020000,6483980600000000,64839806.00000000,6483980611980000,64839806.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,500 years,500.00000000,263640000,0,0.00000000,0,0.00000000,0.00000000,16799999988020000,167999999.88020000,0,0.00000000,11980000,0.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,constant phase start,19.57762557,11130000,50000000,0.50000000,26280000000000,262800.00000000,0.61682620,4260519388020000,42605193.88020000,12539480600000000,125394806.00000000,12539480611980000,125394806.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,constant phase end,496.72681126,261919612,0,0.00000000,0,0.00000000,0.00000000,16799999988020000,167999999.88020000,0,0.00000000,11980000,0.11980000
S2a,S2/a,1/20 reduction with bounded 0.5 RIN phase,terminal height,496.72681126,261919612,0,0.00000000,0,0.00000000,0.00000000,16799999988020000,167999999.88020000,0,0.00000000,11980000,0.11980000
S2b,S2/b,Bounded 1 RIN phase comparator,activation,0.00000000,840000,593750000,5.93750000,299727375000000,2997273.75000000,15.22424762,1968750000000000,19687500.00000000,14831249931750000,148312499.31750000,14831250000000000,148312500.00000000
S2b,S2/b,Bounded 1 RIN phase comparator,1 year,1.00000000,1365600,535859375,5.35859375,264957730776000,2649577.30776000,11.67998119,2268477375000000,22684773.75000000,14531522556750000,145315225.56750000,14531522625000000,145315226.25000000
