scenario_id,scenario_display_id,boundary_height,boundary_type,subsidy_before_rin,subsidy_after_rin,required_additional_fee_rin_per_block,observed_window_days,observed_mean_total_fee_base_units_per_block,observed_median_total_fee_base_units_per_block,required_multiple_of_observed_mean_fee,required_multiple_of_observed_median_fee,median_fee_zero,observed_median_fee_per_non_coinbase_transaction_base_units,required_transactions_at_observed_median_transaction_fee,fee_share_before_boundary_pct,fee_share_after_boundary_with_observed_fees_pct,fee_share_after_boundary_if_revenue_fully_replaced_pct,evidence_class
S1,S1,12390000,scheduled subsidy boundary,0.37211588,0.35351008,0.01860580,90,10002.5482,0.0000,186.0106,,true,99999.0000,19,0.02687297,0.02828694,5.02553094,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,12600000,scheduled subsidy boundary,0.35351008,0.33583457,0.01767551,90,10002.5482,0.0000,176.7101,,true,99999.0000,18,0.02828694,0.02977528,5.02687429,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,12810000,scheduled subsidy boundary,0.33583457,0.31904284,0.01679173,90,10002.5482,0.0000,167.8745,,true,99999.0000,17,0.02977528,0.03134191,5.02828697,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,13020000,scheduled subsidy boundary,0.31904284,0.30309069,0.01595215,90,10002.5482,0.0000,159.4809,,true,99999.0000,16,0.03134191,0.03299095,5.02977732,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,13230000,scheduled subsidy boundary,0.30309069,0.28793615,0.01515454,90,10002.5482,0.0000,151.5068,,true,99999.0000,16,0.03299095,0.03472671,5.03134321,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,13440000,scheduled subsidy boundary,0.28793615,0.27353934,0.01439681,90,10002.5482,0.0000,143.9314,,true,99999.0000,15,0.03472671,0.03655376,5.03299124,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,13650000,scheduled subsidy boundary,0.27353934,0.25986237,0.01367697,90,10002.5482,0.0000,136.7349,,true,99999.0000,14,0.03655376,0.03847690,5.03472717,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,13860000,scheduled subsidy boundary,0.25986237,0.24686925,0.01299312,90,10002.5482,0.0000,129.8981,,true,99999.0000,13,0.03847690,0.04050118,5.03655364,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,14070000,scheduled subsidy boundary,0.24686925,0.23452578,0.01234347,90,10002.5482,0.0000,123.4033,,true,99999.0000,13,0.04050118,0.04263192,5.03847916,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,14280000,scheduled subsidy boundary,0.23452578,0.22279949,0.01172629,90,10002.5482,0.0000,117.2330,,true,99999.0000,12,0.04263192,0.04487470,5.04050075,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
