scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S6c,S6/c,Customized Halving study scenario III,0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,pre-840k binary halving
S6c,S6/c,Customized Halving study scenario III,210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,pre-840k binary halving
S6c,S6/c,Customized Halving study scenario III,420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,pre-840k binary halving
S6c,S6/c,Customized Halving study scenario III,630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,pre-840k binary halving
S6c,S6/c,Customized Halving study scenario III,840000,2100000,1260000,400000000,4.00000000,504000000000000,5040000.00000000,2472750000000000,24727500.00000000,false,customized halving study scenario III
S6c,S6/c,Customized Halving study scenario III,2100000,4200000,2100000,200000000,2.00000000,420000000000000,4200000.00000000,2892750000000000,28927500.00000000,false,customized halving study scenario III
S6c,S6/c,Customized Halving study scenario III,4200000,6300000,2100000,100000000,1.00000000,210000000000000,2100000.00000000,3102750000000000,31027500.00000000,false,customized halving study scenario III
S6c,S6/c,Customized Halving study scenario III,6300000,8400000,2100000,100000000,1.00000000,210000000000000,2100000.00000000,3312750000000000,33127500.00000000,false,customized halving study scenario III extra 1 RIN phase
S6c,S6/c,Customized Halving study scenario III,8400000,233187500,224787500,60000000,0.60000000,13487250000000000,134872500.00000000,16800000000000000,168000000.00000000,false,customized halving study scenario III finite constant phase
