scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S4,S4,Idealized 113/114 cap-derived geometric schedule,0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,legacy pre-activation binary halving
S4,S4,Idealized 113/114 cap-derived geometric schedule,210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,legacy pre-activation binary halving
S4,S4,Idealized 113/114 cap-derived geometric schedule,420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,legacy pre-activation binary halving
S4,S4,Idealized 113/114 cap-derived geometric schedule,630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,legacy pre-activation binary halving
S4,S4,Idealized 113/114 cap-derived geometric schedule,840000,1050000,210000,619517543,6.19517543,130098684030000,1300986.84030000,2098848684030000,20988486.84030000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,1050000,1260000,210000,614083178,6.14083178,128957467380000,1289574.67380000,2227806151410000,22278061.51410000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,1260000,1470000,210000,608696483,6.08696483,127826261430000,1278262.61430000,2355632412840000,23556324.12840000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,1470000,1680000,210000,603357040,6.03357040,126704978400000,1267049.78400000,2482337391240000,24823373.91240000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,1680000,1890000,210000,598064434,5.98064434,125593531140000,1255935.31140000,2607930922380000,26079309.22380000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,1890000,2100000,210000,592818254,5.92818254,124491833340000,1244918.33340000,2732422755720000,27324227.55720000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,2100000,2310000,210000,587618093,5.87618093,123399799530000,1233997.99530000,2855822555250000,28558225.55250000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,2310000,2520000,210000,582463548,5.82463548,122317345080000,1223173.45080000,2978139900330000,29781399.00330000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,2520000,2730000,210000,577354218,5.77354218,121244385780000,1212443.85780000,3099384286110000,30993842.86110000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,2730000,2940000,210000,572289707,5.72289707,120180838470000,1201808.38470000,3219565124580000,32195651.24580000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,2940000,3150000,210000,567269621,5.67269621,119126620410000,1191266.20410000,3338691744990000,33386917.44990000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,3150000,3360000,210000,562293571,5.62293571,118081649910000,1180816.49910000,3456773394900000,34567733.94900000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,3360000,3570000,210000,557361171,5.57361171,117045845910000,1170458.45910000,3573819240810000,35738192.40810000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,3570000,3780000,210000,552472037,5.52472037,116019127770000,1160191.27770000,3689838368580000,36898383.68580000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,3780000,3990000,210000,547625791,5.47625791,115001416110000,1150014.16110000,3804839784690000,38048397.84690000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,3990000,4200000,210000,542822055,5.42822055,113992631550000,1139926.31550000,3918832416240000,39188324.16240000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,4200000,4410000,210000,538060458,5.38060458,112992696180000,1129926.96180000,4031825112420000,40318251.12420000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,4410000,4620000,210000,533340629,5.33340629,112001532090000,1120015.32090000,4143826644510000,41438266.44510000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,4620000,4830000,210000,528662202,5.28662202,111019062420000,1110190.62420000,4254845706930000,42548457.06930000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,4830000,5040000,210000,524024814,5.24024814,110045210940000,1100452.10940000,4364890917870000,43648909.17870000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,5040000,5250000,210000,519428105,5.19428105,109079902050000,1090799.02050000,4473970819920000,44739708.19920000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,5250000,5460000,210000,514871718,5.14871718,108123060780000,1081230.60780000,4582093880700000,45820938.80700000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,5460000,5670000,210000,510355299,5.10355299,107174612790000,1071746.12790000,4689268493490000,46892684.93490000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,5670000,5880000,210000,505878498,5.05878498,106234484580000,1062344.84580000,4795502978070000,47955029.78070000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,5880000,6090000,210000,501440967,5.01440967,105302603070000,1053026.03070000,4900805581140000,49008055.81140000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,6090000,6300000,210000,497042362,4.97042362,104378896020000,1043788.96020000,5005184477160000,50051844.77160000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,6300000,6510000,210000,492682341,4.92682341,103463291610000,1034632.91610000,5108647768770000,51086477.68770000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,6510000,6720000,210000,488360566,4.88360566,102555718860000,1025557.18860000,5211203487630000,52112034.87630000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,6720000,6930000,210000,484076701,4.84076701,101656107210000,1016561.07210000,5312859594840000,53128595.94840000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,6930000,7140000,210000,479830414,4.79830414,100764386940000,1007643.86940000,5413623981780000,54136239.81780000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,7140000,7350000,210000,475621375,4.75621375,99880488750000,998804.88750000,5513504470530000,55135044.70530000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,7350000,7560000,210000,471449257,4.71449257,99004343970000,990043.43970000,5612508814500000,56125088.14500000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,7560000,7770000,210000,467313737,4.67313737,98135884770000,981358.84770000,5710644699270000,57106446.99270000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,7770000,7980000,210000,463214493,4.63214493,97275043530000,972750.43530000,5807919742800000,58079197.42800000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,7980000,8190000,210000,459151207,4.59151207,96421753470000,964217.53470000,5904341496270000,59043414.96270000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,8190000,8400000,210000,455123564,4.55123564,95575948440000,955759.48440000,5999917444710000,59999174.44710000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,8400000,8610000,210000,451131252,4.51131252,94737562920000,947375.62920000,6094655007630000,60946550.07630000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,8610000,8820000,210000,447173960,4.47173960,93906531600000,939065.31600000,6188561539230000,61885615.39230000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,8820000,9030000,210000,443251381,4.43251381,93082790010000,930827.90010000,6281644329240000,62816443.29240000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,9030000,9240000,210000,439363210,4.39363210,92266274100000,922662.74100000,6373910603340000,63739106.03340000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,9240000,9450000,210000,435509146,4.35509146,91456920660000,914569.20660000,6465367524000000,64653675.24000000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,9450000,9660000,210000,431688890,4.31688890,90654666900000,906546.66900000,6556022190900000,65560221.90900000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,9660000,9870000,210000,427902145,4.27902145,89859450450000,898594.50450000,6645881641350000,66458816.41350000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,9870000,10080000,210000,424148617,4.24148617,89071209570000,890712.09570000,6734952850920000,67349528.50920000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,10080000,10290000,210000,420428015,4.20428015,88289883150000,882898.83150000,6823242734070000,68232427.34070000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,10290000,10500000,210000,416740049,4.16740049,87515410290000,875154.10290000,6910758144360000,69107581.44360000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,10500000,10710000,210000,413084434,4.13084434,86747731140000,867477.31140000,6997505875500000,69975058.75500000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,10710000,10920000,210000,409460886,4.09460886,85986786060000,859867.86060000,7083492661560000,70834926.61560000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,10920000,11130000,210000,405869123,4.05869123,85232515830000,852325.15830000,7168725177390000,71687251.77390000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,11130000,11340000,210000,402308867,4.02308867,84484862070000,844848.62070000,7253210039460000,72532100.39460000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,11340000,11550000,210000,398779841,3.98779841,83743766610000,837437.66610000,7336953806070000,73369538.06070000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,11550000,11760000,210000,395281772,3.95281772,83009172120000,830091.72120000,7419962978190000,74199629.78190000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,11760000,11970000,210000,391814388,3.91814388,82281021480000,822810.21480000,7502243999670000,75022439.99670000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,11970000,12180000,210000,388377419,3.88377419,81559257990000,815592.57990000,7583803257660000,75838032.57660000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,12180000,12390000,210000,384970599,3.84970599,80843825790000,808438.25790000,7664647083450000,76646470.83450000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,12390000,12600000,210000,381593663,3.81593663,80134669230000,801346.69230000,7744781752680000,77447817.52680000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,12600000,12810000,210000,378246350,3.78246350,79431733500000,794317.33500000,7824213486180000,78242134.86180000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,12810000,13020000,210000,374928399,3.74928399,78734963790000,787349.63790000,7902948449970000,79029484.49970000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,13020000,13230000,210000,371639553,3.71639553,78044306130000,780443.06130000,7980992756100000,79809927.56100000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,13230000,13440000,210000,368379556,3.68379556,77359706760000,773597.06760000,8058352462860000,80583524.62860000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,13440000,13650000,210000,365148156,3.65148156,76681112760000,766811.12760000,8135033575620000,81350335.75620000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,13650000,13860000,210000,361945102,3.61945102,76008471420000,760084.71420000,8211042047040000,82110420.47040000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,13860000,14070000,210000,358770144,3.58770144,75341730240000,753417.30240000,8286383777280000,82863837.77280000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,14070000,14280000,210000,355623037,3.55623037,74680837770000,746808.37770000,8361064615050000,83610646.15050000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,14280000,14490000,210000,352503536,3.52503536,74025742560000,740257.42560000,8435090357610000,84350903.57610000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,14490000,14700000,210000,349411399,3.49411399,73376393790000,733763.93790000,8508466751400000,85084667.51400000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,14700000,14910000,210000,346346386,3.46346386,72732741060000,727327.41060000,8581199492460000,85811994.92460000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,14910000,15120000,210000,343308259,3.43308259,72094734390000,720947.34390000,8653294226850000,86532942.26850000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,15120000,15330000,210000,340296783,3.40296783,71462324430000,714623.24430000,8724756551280000,87247565.51280000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,15330000,15540000,210000,337311723,3.37311723,70835461830000,708354.61830000,8795592013110000,87955920.13110000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,15540000,15750000,210000,334352848,3.34352848,70214098080000,702140.98080000,8865806111190000,88658061.11190000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,15750000,15960000,210000,331419928,3.31419928,69598184880000,695981.84880000,8935404296070000,89354042.96070000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,15960000,16170000,210000,328512735,3.28512735,68987674350000,689876.74350000,9004391970420000,90043919.70420000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,16170000,16380000,210000,325631044,3.25631044,68382519240000,683825.19240000,9072774489660000,90727744.89660000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,16380000,16590000,210000,322774631,3.22774631,67782672510000,677826.72510000,9140557162170000,91405571.62170000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,16590000,16800000,210000,319943274,3.19943274,67188087540000,671880.87540000,9207745249710000,92077452.49710000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,16800000,17010000,210000,317136754,3.17136754,66598718340000,665987.18340000,9274343968050000,92743439.68050000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,17010000,17220000,210000,314354852,3.14354852,66014518920000,660145.18920000,9340358486970000,93403584.86970000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,17220000,17430000,210000,311597353,3.11597353,65435444130000,654354.44130000,9405793931100000,94057939.31100000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,17430000,17640000,210000,308864042,3.08864042,64861448820000,648614.48820000,9470655379920000,94706553.79920000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,17640000,17850000,210000,306154708,3.06154708,64292488680000,642924.88680000,9534947868600000,95349478.68600000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,17850000,18060000,210000,303469140,3.03469140,63728519400000,637285.19400000,9598676388000000,95986763.88000000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,18060000,18270000,210000,300807130,3.00807130,63169497300000,631694.97300000,9661845885300000,96618458.85300000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,18270000,18480000,210000,298168470,2.98168470,62615378700000,626153.78700000,9724461264000000,97244612.64000000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,18480000,18690000,210000,295552957,2.95552957,62066120970000,620661.20970000,9786527384970000,97865273.84970000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,18690000,18900000,210000,292960387,2.92960387,61521681270000,615216.81270000,9848049066240000,98480490.66240000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,18900000,19110000,210000,290390559,2.90390559,60982017390000,609820.17390000,9909031083630000,99090310.83630000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,19110000,19320000,210000,287843273,2.87843273,60447087330000,604470.87330000,9969478170960000,99694781.70960000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,19320000,19530000,210000,285318332,2.85318332,59916849720000,599168.49720000,10029395020680000,100293950.20680000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,19530000,19740000,210000,282815539,2.82815539,59391263190000,593912.63190000,10088786283870000,100887862.83870000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,19740000,19950000,210000,280334700,2.80334700,58870287000000,588702.87000000,10147656570870000,101476565.70870000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,19950000,20160000,210000,277875623,2.77875623,58353880830000,583538.80830000,10206010451700000,102060104.51700000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,20160000,20370000,210000,275438117,2.75438117,57842004570000,578420.04570000,10263852456270000,102638524.56270000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,20370000,20580000,210000,273021993,2.73021993,57334618530000,573346.18530000,10321187074800000,103211870.74800000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,20580000,20790000,210000,270627063,2.70627063,56831683230000,568316.83230000,10378018758030000,103780187.58030000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,20790000,21000000,210000,268253141,2.68253141,56333159610000,563331.59610000,10434351917640000,104343519.17640000,false,idealized 113/114 comparator
S4,S4,Idealized 113/114 cap-derived geometric schedule,21000000,21210000,210000,265900043,2.65900043,55839009030000,558390.09030000,10490190926670000,104901909.26670000,false,idealized 113/114 comparator
