scenario_id,scenario_display_id,horizon_years,height,price_path,fee_case,hardware_class,subsidy_base_units,fee_base_units_per_block,fee_share_of_gross_rin_revenue_pct,annual_gross_miner_revenue_rin,normalized_price_index,liquidity_realization_pct,annual_gross_miner_revenue_value_index,annual_realizable_miner_revenue_value_index,normalized_annual_break_even_cost,break_even_price_index
S0,S0,1,1365600,stress,low,efficient,78125000,0,0.00000000,410625.00000000,0.95000000,70.0,390093.75000000,273065.62500000,0.58000000,0.00000204
S0,S0,1,1365600,stress,low,high_cost,78125000,0,0.00000000,410625.00000000,0.95000000,70.0,390093.75000000,273065.62500000,0.90000000,0.00000316
S0,S0,1,1365600,stress,base,reference,78125000,10003,0.01280220,410677.57576800,0.95000000,70.0,390143.69697960,273100.58788572,0.70000000,0.00000246
S0,S0,1,1365600,stress,base,efficient,78125000,10003,0.01280220,410677.57576800,0.95000000,70.0,390143.69697960,273100.58788572,0.58000000,0.00000204
S0,S0,1,1365600,stress,base,high_cost,78125000,10003,0.01280220,410677.57576800,0.95000000,70.0,390143.69697960,273100.58788572,0.90000000,0.00000316
S0,S0,1,1365600,stress,high,reference,78125000,290698,0.37071404,412152.90868800,0.95000000,70.0,391545.26325360,274081.68427752,0.70000000,0.00000245
S0,S0,1,1365600,stress,high,efficient,78125000,290698,0.37071404,412152.90868800,0.95000000,70.0,391545.26325360,274081.68427752,0.58000000,0.00000203
S0,S0,1,1365600,stress,high,high_cost,78125000,290698,0.37071404,412152.90868800,0.95000000,70.0,391545.26325360,274081.68427752,0.90000000,0.00000315
S0,S0,1,1365600,flat,low,reference,78125000,0,0.00000000,410625.00000000,1.00000000,90.0,410625.00000000,369562.50000000,0.70000000,0.00000191
S0,S0,1,1365600,flat,low,efficient,78125000,0,0.00000000,410625.00000000,1.00000000,90.0,410625.00000000,369562.50000000,0.58000000,0.00000159
S0,S0,1,1365600,flat,low,high_cost,78125000,0,0.00000000,410625.00000000,1.00000000,90.0,410625.00000000,369562.50000000,0.90000000,0.00000246
S0,S0,1,1365600,flat,base,reference,78125000,10003,0.01280220,410677.57576800,1.00000000,90.0,410677.57576800,369609.81819120,0.70000000,0.00000191
S0,S0,1,1365600,flat,base,efficient,78125000,10003,0.01280220,410677.57576800,1.00000000,90.0,410677.57576800,369609.81819120,0.58000000,0.00000159
S0,S0,1,1365600,flat,base,high_cost,78125000,10003,0.01280220,410677.57576800,1.00000000,90.0,410677.57576800,369609.81819120,0.90000000,0.00000246
S0,S0,1,1365600,flat,high,reference,78125000,290698,0.37071404,412152.90868800,1.00000000,90.0,412152.90868800,370937.61781920,0.70000000,0.00000191
S0,S0,1,1365600,flat,high,efficient,78125000,290698,0.37071404,412152.90868800,1.00000000,90.0,412152.90868800,370937.61781920,0.58000000,0.00000158
S0,S0,1,1365600,flat,high,high_cost,78125000,290698,0.37071404,412152.90868800,1.00000000,90.0,412152.90868800,370937.61781920,0.90000000,0.00000245
S0,S0,1,1365600,growth,low,reference,78125000,0,0.00000000,410625.00000000,1.03000000,80.0,422943.75000000,338355.00000000,0.70000000,0.00000215
S0,S0,1,1365600,growth,low,efficient,78125000,0,0.00000000,410625.00000000,1.03000000,80.0,422943.75000000,338355.00000000,0.58000000,0.00000178
S0,S0,1,1365600,growth,low,high_cost,78125000,0,0.00000000,410625.00000000,1.03000000,80.0,422943.75000000,338355.00000000,0.90000000,0.00000277
S0,S0,1,1365600,growth,base,reference,78125000,10003,0.01280220,410677.57576800,1.03000000,80.0,422997.90304104,338398.32243283,0.70000000,0.00000215
S0,S0,1,1365600,growth,base,efficient,78125000,10003,0.01280220,410677.57576800,1.03000000,80.0,422997.90304104,338398.32243283,0.58000000,0.00000178
S0,S0,1,1365600,growth,base,high_cost,78125000,10003,0.01280220,410677.57576800,1.03000000,80.0,422997.90304104,338398.32243283,0.90000000,0.00000277
S0,S0,1,1365600,growth,high,reference,78125000,290698,0.37071404,412152.90868800,1.03000000,80.0,424517.49594864,339613.99675891,0.70000000,0.00000214
S0,S0,1,1365600,growth,high,efficient,78125000,290698,0.37071404,412152.90868800,1.03000000,80.0,424517.49594864,339613.99675891,0.58000000,0.00000178
S0,S0,1,1365600,growth,high,high_cost,78125000,290698,0.37071404,412152.90868800,1.03000000,80.0,424517.49594864,339613.99675891,0.90000000,0.00000276
S0,S0,2,1891200,stress,low,reference,9765625,0,0.00000000,51328.12500000,0.90250000,70.0,46323.63281250,32426.54296875,0.70000000,0.00001968
S0,S0,2,1891200,stress,low,efficient,9765625,0,0.00000000,51328.12500000,0.90250000,70.0,46323.63281250,32426.54296875,0.58000000,0.00001631
S0,S0,2,1891200,stress,low,high_cost,9765625,0,0.00000000,51328.12500000,0.90250000,70.0,46323.63281250,32426.54296875,0.90000000,0.00002530
S0,S0,2,1891200,stress,base,reference,9765625,10003,0.10232591,51380.70076800,0.90250000,70.0,46371.08244312,32459.75771018,0.70000000,0.00001966
S0,S0,2,1891200,stress,base,efficient,9765625,10003,0.10232591,51380.70076800,0.90250000,70.0,46371.08244312,32459.75771018,0.58000000,0.00001629
S0,S0,2,1891200,stress,base,high_cost,9765625,10003,0.10232591,51380.70076800,0.90250000,70.0,46371.08244312,32459.75771018,0.90000000,0.00002528
S0,S0,2,1891200,stress,high,reference,9765625,290698,2.89069872,52856.03368800,0.90250000,70.0,47702.57040342,33391.79928239,0.70000000,0.00001911
S0,S0,2,1891200,stress,high,efficient,9765625,290698,2.89069872,52856.03368800,0.90250000,70.0,47702.57040342,33391.79928239,0.58000000,0.00001583
S0,S0,2,1891200,stress,high,high_cost,9765625,290698,2.89069872,52856.03368800,0.90250000,70.0,47702.57040342,33391.79928239,0.90000000,0.00002457
S0,S0,2,1891200,flat,low,reference,9765625,0,0.00000000,51328.12500000,1.00000000,90.0,51328.12500000,46195.31250000,0.70000000,0.00001531
S0,S0,2,1891200,flat,low,efficient,9765625,0,0.00000000,51328.12500000,1.00000000,90.0,51328.12500000,46195.31250000,0.58000000,0.00001268
S0,S0,2,1891200,flat,low,high_cost,9765625,0,0.00000000,51328.12500000,1.00000000,90.0,51328.12500000,46195.31250000,0.90000000,0.00001968
S0,S0,2,1891200,flat,base,reference,9765625,10003,0.10232591,51380.70076800,1.00000000,90.0,51380.70076800,46242.63069120,0.70000000,0.00001529
S0,S0,2,1891200,flat,base,efficient,9765625,10003,0.10232591,51380.70076800,1.00000000,90.0,51380.70076800,46242.63069120,0.58000000,0.00001267
S0,S0,2,1891200,flat,base,high_cost,9765625,10003,0.10232591,51380.70076800,1.00000000,90.0,51380.70076800,46242.63069120,0.90000000,0.00001966
S0,S0,2,1891200,flat,high,reference,9765625,290698,2.89069872,52856.03368800,1.00000000,90.0,52856.03368800,47570.43031920,0.70000000,0.00001486
S0,S0,2,1891200,flat,high,efficient,9765625,290698,2.89069872,52856.03368800,1.00000000,90.0,52856.03368800,47570.43031920,0.58000000,0.00001232
S0,S0,2,1891200,flat,high,high_cost,9765625,290698,2.89069872,52856.03368800,1.00000000,90.0,52856.03368800,47570.43031920,0.90000000,0.00001911
S0,S0,2,1891200,growth,low,reference,9765625,0,0.00000000,51328.12500000,1.06090000,80.0,54454.00781250,43563.20625000,0.70000000,0.00001722
S0,S0,2,1891200,growth,low,efficient,9765625,0,0.00000000,51328.12500000,1.06090000,80.0,54454.00781250,43563.20625000,0.58000000,0.00001427
S0,S0,2,1891200,growth,low,high_cost,9765625,0,0.00000000,51328.12500000,1.06090000,80.0,54454.00781250,43563.20625000,0.90000000,0.00002214
S0,S0,2,1891200,growth,base,reference,9765625,10003,0.10232591,51380.70076800,1.06090000,80.0,54509.78544477,43607.82835582,0.70000000,0.00001720
S0,S0,2,1891200,growth,base,efficient,9765625,10003,0.10232591,51380.70076800,1.06090000,80.0,54509.78544477,43607.82835582,0.58000000,0.00001425
S0,S0,2,1891200,growth,base,high_cost,9765625,10003,0.10232591,51380.70076800,1.06090000,80.0,54509.78544477,43607.82835582,0.90000000,0.00002212
S0,S0,2,1891200,growth,high,reference,9765625,290698,2.89069872,52856.03368800,1.06090000,80.0,56074.96613960,44859.97291168,0.70000000,0.00001672
S0,S0,2,1891200,growth,high,efficient,9765625,290698,2.89069872,52856.03368800,1.06090000,80.0,56074.96613960,44859.97291168,0.58000000,0.00001386
S0,S0,2,1891200,growth,high,high_cost,9765625,290698,2.89069872,52856.03368800,1.06090000,80.0,56074.96613960,44859.97291168,0.90000000,0.00002150
S0,S0,5,3468000,stress,low,reference,76293,0,0.00000000,400.99600800,0.77378094,70.0,310.28306700,217.19814690,0.70000000,0.00251898
S0,S0,5,3468000,stress,low,efficient,76293,0,0.00000000,400.99600800,0.77378094,70.0,310.28306700,217.19814690,0.58000000,0.00208716
S0,S0,5,3468000,stress,low,high_cost,76293,0,0.00000000,400.99600800,0.77378094,70.0,310.28306700,217.19814690,0.90000000,0.00323869
S0,S0,5,3468000,stress,base,reference,76293,10003,11.59149903,453.57177600,0.77378094,70.0,350.96519406,245.67563584,0.70000000,0.00222699
S0,S0,5,3468000,stress,base,efficient,76293,10003,11.59149903,453.57177600,0.77378094,70.0,350.96519406,245.67563584,0.58000000,0.00184522
S0,S0,5,3468000,stress,base,high_cost,76293,10003,11.59149903,453.57177600,0.77378094,70.0,350.96519406,245.67563584,0.90000000,0.00286328
S0,S0,5,3468000,stress,high,reference,76293,290698,79.21120681,1928.90469600,0.77378094,70.0,1492.54968402,1044.78477881,0.70000000,0.00052367
S0,S0,5,3468000,stress,high,efficient,76293,290698,79.21120681,1928.90469600,0.77378094,70.0,1492.54968402,1044.78477881,0.58000000,0.00043389
S0,S0,5,3468000,stress,high,high_cost,76293,290698,79.21120681,1928.90469600,0.77378094,70.0,1492.54968402,1044.78477881,0.90000000,0.00067328
S0,S0,5,3468000,flat,low,reference,76293,0,0.00000000,400.99600800,1.00000000,90.0,400.99600800,360.89640720,0.70000000,0.00195921
S0,S0,5,3468000,flat,low,efficient,76293,0,0.00000000,400.99600800,1.00000000,90.0,400.99600800,360.89640720,0.58000000,0.00162334
S0,S0,5,3468000,flat,low,high_cost,76293,0,0.00000000,400.99600800,1.00000000,90.0,400.99600800,360.89640720,0.90000000,0.00251898
S0,S0,5,3468000,flat,base,reference,76293,10003,11.59149903,453.57177600,1.00000000,90.0,453.57177600,408.21459840,0.70000000,0.00173211
S0,S0,5,3468000,flat,base,efficient,76293,10003,11.59149903,453.57177600,1.00000000,90.0,453.57177600,408.21459840,0.58000000,0.00143517
S0,S0,5,3468000,flat,base,high_cost,76293,10003,11.59149903,453.57177600,1.00000000,90.0,453.57177600,408.21459840,0.90000000,0.00222699
S0,S0,5,3468000,flat,high,reference,76293,290698,79.21120681,1928.90469600,1.00000000,90.0,1928.90469600,1736.01422640,0.70000000,0.00040730
S0,S0,5,3468000,flat,high,efficient,76293,290698,79.21120681,1928.90469600,1.00000000,90.0,1928.90469600,1736.01422640,0.58000000,0.00033747
S0,S0,5,3468000,flat,high,high_cost,76293,290698,79.21120681,1928.90469600,1.00000000,90.0,1928.90469600,1736.01422640,0.90000000,0.00052367
S0,S0,5,3468000,growth,low,reference,76293,0,0.00000000,400.99600800,1.15927407,80.0,464.86427597,371.89142078,0.70000000,0.00220411
S0,S0,5,3468000,growth,low,efficient,76293,0,0.00000000,400.99600800,1.15927407,80.0,464.86427597,371.89142078,0.58000000,0.00182626
S0,S0,5,3468000,growth,low,high_cost,76293,0,0.00000000,400.99600800,1.15927407,80.0,464.86427597,371.89142078,0.90000000,0.00283385
S0,S0,5,3468000,growth,base,reference,76293,10003,11.59149903,453.57177600,1.15927407,80.0,525.81400075,420.65120060,0.70000000,0.00194862
S0,S0,5,3468000,growth,base,efficient,76293,10003,11.59149903,453.57177600,1.15927407,80.0,525.81400075,420.65120060,0.58000000,0.00161457
S0,S0,5,3468000,growth,base,high_cost,76293,10003,11.59149903,453.57177600,1.15927407,80.0,525.81400075,420.65120060,0.90000000,0.00250537
S0,S0,5,3468000,growth,high,reference,76293,290698,79.21120681,1928.90469600,1.15927407,80.0,2236.12920587,1788.90336469,0.70000000,0.00045821
S0,S0,5,3468000,growth,high,efficient,76293,290698,79.21120681,1928.90469600,1.15927407,80.0,2236.12920587,1788.90336469,0.58000000,0.00037966
S0,S0,5,3468000,growth,high,high_cost,76293,290698,79.21120681,1928.90469600,1.15927407,80.0,2236.12920587,1788.90336469,0.90000000,0.00058912
S0,S0,10,6096000,stress,low,reference,9,0,0.00000000,0.04730400,0.59873694,70.0,0.02832265,0.01982586,0.70000000,21.35339528
S0,S0,10,6096000,stress,low,efficient,9,0,0.00000000,0.04730400,0.59873694,70.0,0.02832265,0.01982586,0.58000000,17.69281323
S0,S0,10,6096000,stress,low,high_cost,9,0,0.00000000,0.04730400,0.59873694,70.0,0.02832265,0.01982586,0.90000000,27.45436535
S0,S0,10,6096000,stress,base,reference,9,10003,99.91010787,52.62307200,0.59873694,70.0,31.50737706,22.05516394,0.70000000,0.01919502
S0,S0,10,6096000,stress,base,efficient,9,10003,99.91010787,52.62307200,0.59873694,70.0,31.50737706,22.05516394,0.58000000,0.01590445
S0,S0,10,6096000,stress,base,high_cost,9,10003,99.91010787,52.62307200,0.59873694,70.0,31.50737706,22.05516394,0.90000000,0.02467931
S0,S0,10,6096000,stress,high,reference,9,290698,99.99690410,1527.95599200,0.59873694,70.0,914.84369394,640.39058576,0.70000000,0.00066108
S0,S0,10,6096000,stress,high,efficient,9,290698,99.99690410,1527.95599200,0.59873694,70.0,914.84369394,640.39058576,0.58000000,0.00054775
S0,S0,10,6096000,stress,high,high_cost,9,290698,99.99690410,1527.95599200,0.59873694,70.0,914.84369394,640.39058576,0.90000000,0.00084996
S0,S0,10,6096000,flat,low,reference,9,0,0.00000000,0.04730400,1.00000000,90.0,0.04730400,0.04257360,0.70000000,16.60819633
S0,S0,10,6096000,flat,low,efficient,9,0,0.00000000,0.04730400,1.00000000,90.0,0.04730400,0.04257360,0.58000000,13.76107696
S0,S0,10,6096000,flat,low,high_cost,9,0,0.00000000,0.04730400,1.00000000,90.0,0.04730400,0.04257360,0.90000000,21.35339528
S0,S0,10,6096000,flat,base,reference,9,10003,99.91010787,52.62307200,1.00000000,90.0,52.62307200,47.36076480,0.70000000,0.01492946
S0,S0,10,6096000,flat,base,efficient,9,10003,99.91010787,52.62307200,1.00000000,90.0,52.62307200,47.36076480,0.58000000,0.01237013
S0,S0,10,6096000,flat,base,high_cost,9,10003,99.91010787,52.62307200,1.00000000,90.0,52.62307200,47.36076480,0.90000000,0.01919502
S0,S0,10,6096000,flat,high,reference,9,290698,99.99690410,1527.95599200,1.00000000,90.0,1527.95599200,1375.16039280,0.70000000,0.00051417
S0,S0,10,6096000,flat,high,efficient,9,290698,99.99690410,1527.95599200,1.00000000,90.0,1527.95599200,1375.16039280,0.58000000,0.00042603
S0,S0,10,6096000,flat,high,high_cost,9,290698,99.99690410,1527.95599200,1.00000000,90.0,1527.95599200,1375.16039280,0.90000000,0.00066108
S0,S0,10,6096000,growth,low,reference,9,0,0.00000000,0.04730400,1.34391638,80.0,0.06357262,0.05085810,0.70000000,18.68422087
S0,S0,10,6096000,growth,low,efficient,9,0,0.00000000,0.04730400,1.34391638,80.0,0.06357262,0.05085810,0.58000000,15.48121157
S0,S0,10,6096000,growth,low,high_cost,9,0,0.00000000,0.04730400,1.34391638,80.0,0.06357262,0.05085810,0.90000000,24.02256968
S0,S0,10,6096000,growth,base,reference,9,10003,99.91010787,52.62307200,1.34391638,80.0,70.72100839,56.57680671,0.70000000,0.01679564
S0,S0,10,6096000,growth,base,efficient,9,10003,99.91010787,52.62307200,1.34391638,80.0,70.72100839,56.57680671,0.58000000,0.01391639
S0,S0,10,6096000,growth,base,high_cost,9,10003,99.91010787,52.62307200,1.34391638,80.0,70.72100839,56.57680671,0.90000000,0.02159440
S0,S0,10,6096000,growth,high,reference,9,290698,99.99690410,1527.95599200,1.34391638,80.0,2053.44508457,1642.75606765,0.70000000,0.00057844
S0,S0,10,6096000,growth,high,efficient,9,290698,99.99690410,1527.95599200,1.34391638,80.0,2053.44508457,1642.75606765,0.58000000,0.00047928
S0,S0,10,6096000,growth,high,high_cost,9,290698,99.99690410,1527.95599200,1.34391638,80.0,2053.44508457,1642.75606765,0.90000000,0.00074371
S0,S0,25,13980000,stress,low,reference,0,0,0.00000000,0.00000000,0.27738957,70.0,0.00000000,0.00000000,0.70000000,0.00000000
S0,S0,25,13980000,stress,low,efficient,0,0,0.00000000,0.00000000,0.27738957,70.0,0.00000000,0.00000000,0.58000000,0.00000000
S0,S0,25,13980000,stress,low,high_cost,0,0,0.00000000,0.00000000,0.27738957,70.0,0.00000000,0.00000000,0.90000000,0.00000000
S0,S0,25,13980000,stress,base,reference,0,10003,100.00000000,52.57576800,0.27738957,70.0,14.58396984,10.20877889,0.70000000,0.01921229
S0,S0,25,13980000,stress,base,efficient,0,10003,100.00000000,52.57576800,0.27738957,70.0,14.58396984,10.20877889,0.58000000,0.01591876
S0,S0,25,13980000,stress,base,high_cost,0,10003,100.00000000,52.57576800,0.27738957,70.0,14.58396984,10.20877889,0.90000000,0.02470152
S0,S0,25,13980000,stress,high,reference,0,290698,100.00000000,1527.90868800,0.27738957,70.0,423.82593873,296.67815711,0.70000000,0.00066110
S0,S0,25,13980000,stress,high,efficient,0,290698,100.00000000,1527.90868800,0.27738957,70.0,423.82593873,296.67815711,0.58000000,0.00054777
S0,S0,25,13980000,stress,high,high_cost,0,290698,100.00000000,1527.90868800,0.27738957,70.0,423.82593873,296.67815711,0.90000000,0.00084999
S0,S0,25,13980000,flat,low,reference,0,0,0.00000000,0.00000000,1.00000000,90.0,0.00000000,0.00000000,0.70000000,0.00000000
S0,S0,25,13980000,flat,low,efficient,0,0,0.00000000,0.00000000,1.00000000,90.0,0.00000000,0.00000000,0.58000000,0.00000000
S0,S0,25,13980000,flat,low,high_cost,0,0,0.00000000,0.00000000,1.00000000,90.0,0.00000000,0.00000000,0.90000000,0.00000000
S0,S0,25,13980000,flat,base,reference,0,10003,100.00000000,52.57576800,1.00000000,90.0,52.57576800,47.31819120,0.70000000,0.01494289
S0,S0,25,13980000,flat,base,efficient,0,10003,100.00000000,52.57576800,1.00000000,90.0,52.57576800,47.31819120,0.58000000,0.01238125
S0,S0,25,13980000,flat,base,high_cost,0,10003,100.00000000,52.57576800,1.00000000,90.0,52.57576800,47.31819120,0.90000000,0.01921229
S0,S0,25,13980000,flat,high,reference,0,290698,100.00000000,1527.90868800,1.00000000,90.0,1527.90868800,1375.11781920,0.70000000,0.00051419
S0,S0,25,13980000,flat,high,efficient,0,290698,100.00000000,1527.90868800,1.00000000,90.0,1527.90868800,1375.11781920,0.58000000,0.00042604
S0,S0,25,13980000,flat,high,high_cost,0,290698,100.00000000,1527.90868800,1.00000000,90.0,1527.90868800,1375.11781920,0.90000000,0.00066110
S0,S0,25,13980000,growth,low,reference,0,0,0.00000000,0.00000000,2.09377793,80.0,0.00000000,0.00000000,0.70000000,0.00000000
S0,S0,25,13980000,growth,low,efficient,0,0,0.00000000,0.00000000,2.09377793,80.0,0.00000000,0.00000000,0.58000000,0.00000000
S0,S0,25,13980000,growth,low,high_cost,0,0,0.00000000,0.00000000,2.09377793,80.0,0.00000000,0.00000000,0.90000000,0.00000000
S0,S0,25,13980000,growth,base,reference,0,10003,100.00000000,52.57576800,2.09377793,80.0,110.08198267,88.06558614,0.70000000,0.01681076
S0,S0,25,13980000,growth,base,efficient,0,10003,100.00000000,52.57576800,2.09377793,80.0,110.08198267,88.06558614,0.58000000,0.01392891
S0,S0,25,13980000,growth,base,high_cost,0,10003,100.00000000,52.57576800,2.09377793,80.0,110.08198267,88.06558614,0.90000000,0.02161383
S0,S0,25,13980000,growth,high,reference,0,290698,100.00000000,1527.90868800,2.09377793,80.0,3199.10148946,2559.28119157,0.70000000,0.00057846
S0,S0,25,13980000,growth,high,efficient,0,290698,100.00000000,1527.90868800,2.09377793,80.0,3199.10148946,2559.28119157,0.58000000,0.00047930
S0,S0,25,13980000,growth,high,high_cost,0,290698,100.00000000,1527.90868800,2.09377793,80.0,3199.10148946,2559.28119157,0.90000000,0.00074374
S0,S0,50,27120000,stress,low,reference,0,0,0.00000000,0.00000000,0.07694498,70.0,0.00000000,0.00000000,0.70000000,0.00000000
S0,S0,50,27120000,stress,low,efficient,0,0,0.00000000,0.00000000,0.07694498,70.0,0.00000000,0.00000000,0.58000000,0.00000000
S0,S0,50,27120000,stress,low,high_cost,0,0,0.00000000,0.00000000,0.07694498,70.0,0.00000000,0.00000000,0.90000000,0.00000000
S0,S0,50,27120000,stress,base,reference,0,10003,100.00000000,52.57576800,0.07694498,70.0,4.04544117,2.83180882,0.70000000,0.01921229
S0,S0,50,27120000,stress,base,efficient,0,10003,100.00000000,52.57576800,0.07694498,70.0,4.04544117,2.83180882,0.58000000,0.01591876
S0,S0,50,27120000,stress,base,high_cost,0,10003,100.00000000,52.57576800,0.07694498,70.0,4.04544117,2.83180882,0.90000000,0.02470152
S0,S0,50,27120000,stress,high,reference,0,290698,100.00000000,1527.90868800,0.07694498,70.0,117.56489622,82.29542736,0.70000000,0.00066110
S0,S0,50,27120000,stress,high,efficient,0,290698,100.00000000,1527.90868800,0.07694498,70.0,117.56489622,82.29542736,0.58000000,0.00054777
S0,S0,50,27120000,stress,high,high_cost,0,290698,100.00000000,1527.90868800,0.07694498,70.0,117.56489622,82.29542736,0.90000000,0.00084999
S0,S0,50,27120000,flat,low,reference,0,0,0.00000000,0.00000000,1.00000000,90.0,0.00000000,0.00000000,0.70000000,0.00000000
S0,S0,50,27120000,flat,low,efficient,0,0,0.00000000,0.00000000,1.00000000,90.0,0.00000000,0.00000000,0.58000000,0.00000000
S0,S0,50,27120000,flat,low,high_cost,0,0,0.00000000,0.00000000,1.00000000,90.0,0.00000000,0.00000000,0.90000000,0.00000000
S0,S0,50,27120000,flat,base,reference,0,10003,100.00000000,52.57576800,1.00000000,90.0,52.57576800,47.31819120,0.70000000,0.01494289
S0,S0,50,27120000,flat,base,efficient,0,10003,100.00000000,52.57576800,1.00000000,90.0,52.57576800,47.31819120,0.58000000,0.01238125
S0,S0,50,27120000,flat,base,high_cost,0,10003,100.00000000,52.57576800,1.00000000,90.0,52.57576800,47.31819120,0.90000000,0.01921229
S0,S0,50,27120000,flat,high,reference,0,290698,100.00000000,1527.90868800,1.00000000,90.0,1527.90868800,1375.11781920,0.70000000,0.00051419
S0,S0,50,27120000,flat,high,efficient,0,290698,100.00000000,1527.90868800,1.00000000,90.0,1527.90868800,1375.11781920,0.58000000,0.00042604
S0,S0,50,27120000,flat,high,high_cost,0,290698,100.00000000,1527.90868800,1.00000000,90.0,1527.90868800,1375.11781920,0.90000000,0.00066110
S0,S0,50,27120000,growth,low,reference,0,0,0.00000000,0.00000000,4.38390602,80.0,0.00000000,0.00000000,0.70000000,0.00000000
S0,S0,50,27120000,growth,low,efficient,0,0,0.00000000,0.00000000,4.38390602,80.0,0.00000000,0.00000000,0.58000000,0.00000000
