scenario_id,scenario_display_id,scenario_name,start_height,end_height,blocks,maximum_permitted_subsidy_base_units,maximum_permitted_subsidy_rin_display,scheduled_issuance_base_units,scheduled_issuance_rin_display,cumulative_scheduled_issuance_base_units,cumulative_scheduled_issuance_rin_display,perpetual_or_truncated,rule
S1,S1,1/20 reduction without a floor,0,210000,210000,5000000000,50.00000000,1050000000000000,10500000.00000000,1050000000000000,10500000.00000000,false,legacy pre-activation binary halving
S1,S1,1/20 reduction without a floor,210000,420000,210000,2500000000,25.00000000,525000000000000,5250000.00000000,1575000000000000,15750000.00000000,false,legacy pre-activation binary halving
S1,S1,1/20 reduction without a floor,420000,630000,210000,1250000000,12.50000000,262500000000000,2625000.00000000,1837500000000000,18375000.00000000,false,legacy pre-activation binary halving
S1,S1,1/20 reduction without a floor,630000,840000,210000,625000000,6.25000000,131250000000000,1312500.00000000,1968750000000000,19687500.00000000,false,legacy pre-activation binary halving
S1,S1,1/20 reduction without a floor,840000,1050000,210000,593750000,5.93750000,124687500000000,1246875.00000000,2093437500000000,20934375.00000000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,1050000,1260000,210000,564062500,5.64062500,118453125000000,1184531.25000000,2211890625000000,22118906.25000000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,1260000,1470000,210000,535859375,5.35859375,112530468750000,1125304.68750000,2324421093750000,23244210.93750000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,1470000,1680000,210000,509066406,5.09066406,106903945260000,1069039.45260000,2431325039010000,24313250.39010000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,1680000,1890000,210000,483613085,4.83613085,101558747850000,1015587.47850000,2532883786860000,25328837.86860000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,1890000,2100000,210000,459432430,4.59432430,96480810300000,964808.10300000,2629364597160000,26293645.97160000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,2100000,2310000,210000,436460808,4.36460808,91656769680000,916567.69680000,2721021366840000,27210213.66840000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,2310000,2520000,210000,414637767,4.14637767,87073931070000,870739.31070000,2808095297910000,28080952.97910000,false,1/20 epoch reduction
S1,S1,1/20 reduction without a floor,2520000,2730000,210000,393905878,3.93905878,82720234380000,827202.34380000,2890815532290000,28908155.32290000,false,1/20 epoch reduction
