metric,value,unit,calculation
advertised available capacity,10.346300,MH/s,sum of advertised hashrate across available API-online listings
capacity-weighted ask,0.000034110864,BTC/MH/day,sum(listing hashrate * ask) / sum(listing hashrate)
all-capacity weighted 24-hour price,0.000352921232,BTC,sum(listing hashrate * ask * 24/24)
sum of listing minimum contractual prices,0.000090932105,BTC,sum(listing hashrate * ask * listing minimum hours / 24)
minimum-price share of 24-hour price,25.765552,%,sum of listing minimum prices / all-capacity 24-hour price
listings with minimum below / equal to / above 24 hours,16 / 5 / 1,listings,direct classification of listing minimum-duration fields
