scenario_id,scenario_display_id,horizon_years,height,subsidy_rin_per_block,fee_share_pct,annual_realizable_miner_revenue_index,normalized_sustainable_hashrate_index,assumption_case
S4,S4,0,840000,6.19517543,0.00161462,2930613.10359840,4144724.24651774,flat price / base fee / reference hardware
S4,S4,1,1365600,6.08696483,0.00164332,2879425.16137440,4072329.87108665,flat price / base fee / reference hardware
S4,S4,2,1891200,5.92818254,0.00168734,2804314.78691280,3966102.34149096,flat price / base fee / reference hardware
S4,S4,5,3468000,5.57361171,0.00179467,2636588.60148960,3728889.59353529,flat price / base fee / reference hardware
S4,S4,10,6096000,4.97042362,0.00201246,2351256.50739600,3325348.48903149,flat price / base fee / reference hardware
S4,S4,25,13980000,3.58770144,0.00278806,1697173.60736880,2400288.38756445,flat price / base fee / reference hardware
S4,S4,50,27120000,2.05945615,0.00485687,974252.45538720,1377871.32976190,flat price / base fee / reference hardware
S4,S4,100,53400000,0.68462278,0.01460883,323901.27804240,458088.95037425,flat price / base fee / reference hardware
S4,S4,250,132240000,0.02515004,0.39615732,11944.29311280,16892.64311667,flat price / base fee / reference hardware
S4,S4,500,263640000,0.00010060,49.85794747,94.90601520,134.22422150,flat price / base fee / reference hardware
S5a,S5/a,0,840000,3.12500000,0.00320086,1478297.31819120,2090734.77858470,flat price / base fee / reference hardware
S5a,S5/a,1,1365600,3.12500000,0.00320086,1478297.31819120,2090734.77858470,flat price / base fee / reference hardware
S5a,S5/a,2,1891200,3.12500000,0.00320086,1478297.31819120,2090734.77858470,flat price / base fee / reference hardware
S5a,S5/a,5,3468000,1.56250000,0.00640151,739172.31819120,1045400.85001327,flat price / base fee / reference hardware
S5a,S5/a,10,6096000,0.78125000,0.01280220,369609.81819120,522733.88572755,flat price / base fee / reference hardware
S5a,S5/a,25,13980000,0.04882812,0.20444264,23144.97207600,32733.60336463,flat price / base fee / reference hardware
S5a,S5/a,50,27120000,0.00076293,11.59149903,408.21459840,577.33207488,flat price / base fee / reference hardware
S5a,S5/a,100,53400000,0.00000009,99.91010787,47.36076480,66.98165307,flat price / base fee / reference hardware
S5a,S5/a,250,132240000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S5a,S5/a,500,263640000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S5B,S5/b,0,840000,6.25000000,0.00160045,2956547.31819120,4181402.63572755,flat price / base fee / reference hardware
S5B,S5/b,1,1365600,6.25000000,0.00160045,2956547.31819120,4181402.63572755,flat price / base fee / reference hardware
S5B,S5/b,2,1891200,6.25000000,0.00160045,2956547.31819120,4181402.63572755,flat price / base fee / reference hardware
S5B,S5/b,5,3468000,3.12500000,0.00320086,1478297.31819120,2090734.77858470,flat price / base fee / reference hardware
S5B,S5/b,10,6096000,1.56250000,0.00640151,739172.31819120,1045400.85001327,flat price / base fee / reference hardware
S5B,S5/b,25,13980000,0.09765625,0.10232591,46242.63069120,65400.29197755,flat price / base fee / reference hardware
S5B,S5/b,50,27120000,0.00152587,6.15228489,769.11573600,1087.74939806,flat price / base fee / reference hardware
S5B,S5/b,100,53400000,0.00000018,99.82037721,47.40333840,67.04186431,flat price / base fee / reference hardware
S5B,S5/b,250,132240000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
S5B,S5/b,500,263640000,0.00000000,100.00000000,47.31819120,66.92144184,flat price / base fee / reference hardware
