scenario_id,scenario_display_id,scenario_name,boundary_height,subsidy_before_base_units,subsidy_after_base_units,subsidy_before_rin,subsidy_after_rin,nominal_change_base_units,nominal_revenue_shock_pct,fee_replacement_base_units_per_block,fee_replacement_rin_per_block,boundary_type
S4,S4,Idealized 113/114 cap-derived geometric schedule,160860000,758796,752139,0.00758796,0.00752139,-6657,-0.87731090,6657,0.00006657,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,161070000,752139,745541,0.00752139,0.00745541,-6598,-0.87723147,6598,0.00006598,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,161280000,745541,739001,0.00745541,0.00739001,-6540,-0.87721534,6540,0.00006540,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,161490000,739001,732518,0.00739001,0.00732518,-6483,-0.87726539,6483,0.00006483,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,161700000,732518,726092,0.00732518,0.00726092,-6426,-0.87724807,6426,0.00006426,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,161910000,726092,719722,0.00726092,0.00719722,-6370,-0.87729930,6370,0.00006370,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,162120000,719722,713408,0.00719722,0.00713408,-6314,-0.87728317,6314,0.00006314,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,162330000,713408,707150,0.00713408,0.00707150,-6258,-0.87719790,6258,0.00006258,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,162540000,707150,700946,0.00707150,0.00700946,-6204,-0.87732447,6204,0.00006204,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,162750000,700946,694797,0.00700946,0.00694797,-6149,-0.87724304,6149,0.00006149,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,162960000,694797,688702,0.00694797,0.00688702,-6095,-0.87723465,6095,0.00006095,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,163170000,688702,682660,0.00688702,0.00682660,-6042,-0.87730252,6042,0.00006042,scheduled subsidy boundary
